time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:02:26.396,0x0041,F8:30:02:08:DF:00,Send,Exchange MTU Request,,,
Oct 29 22:02:26.454,0x0041,F8:30:02:08:DF:00,Receive,Exchange MTU Response,,,
Oct 29 22:02:26.455,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0001,,
Oct 29 22:02:26.515,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 29 22:02:26.515,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0023,,
Oct 29 22:02:26.575,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 29 22:02:26.575,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x000C,,
Oct 29 22:02:26.635,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 22:02:26.635,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x000F,,
Oct 29 22:02:26.694,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 22:02:26.695,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x000F,,
Oct 29 22:02:26.754,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:02:26.756,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0023,,
Oct 29 22:02:26.815,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 22:02:26.815,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x002D,,
Oct 29 22:02:26.875,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 22:02:26.875,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0031,,
Oct 29 22:02:26.935,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0031,,
Oct 29 22:02:26.938,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x002D,,
Oct 29 22:02:26.995,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 22:02:26.995,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x002D,FFF3,
Oct 29 22:02:27.055,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:02:27.055,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0031,,
Oct 29 22:02:27.115,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 22:02:27.115,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0033,,
Oct 29 22:02:27.175,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0033,,
Oct 29 22:02:27.175,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0031,FFF4,
Oct 29 22:02:27.235,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:02:27.237,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0029,,
Oct 29 22:02:27.295,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 22:02:27.295,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0029,FFF2,
Oct 29 22:02:27.355,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:02:27.355,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0000000000
Oct 29 22:02:27.415,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,010000000000000000
Oct 29 22:02:27.415,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:02:27.418,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0204000000
Oct 29 22:02:27.445,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:02:27.475,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,040000000000000000
Oct 29 22:02:27.475,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:02:27.477,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0300000000
