time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 28 09:43:09.189,0x0041,F8:30:02:08:DF:00,Send,Exchange MTU Request,,,
Oct 28 09:43:09.247,0x0041,F8:30:02:08:DF:00,Receive,Exchange MTU Response,,,
Oct 28 09:43:09.247,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0001,,
Oct 28 09:43:09.308,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 28 09:43:09.308,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0023,,
Oct 28 09:43:09.367,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 28 09:43:09.368,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x000C,,
Oct 28 09:43:09.427,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 28 09:43:09.428,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x000F,,
Oct 28 09:43:09.487,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 28 09:43:09.488,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x000F,,
Oct 28 09:43:09.547,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:09.549,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0023,,
Oct 28 09:43:09.608,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 28 09:43:09.608,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x002D,,
Oct 28 09:43:09.667,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 28 09:43:09.668,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0031,,
Oct 28 09:43:09.727,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0031,,
Oct 28 09:43:09.731,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x002D,,
Oct 28 09:43:09.787,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 28 09:43:09.788,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x002D,FFF3,
Oct 28 09:43:09.847,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:09.848,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0031,,
Oct 28 09:43:09.937,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 28 09:43:09.938,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0033,,
Oct 28 09:43:09.997,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0033,,
Oct 28 09:43:09.998,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0031,FFF4,
Oct 28 09:43:10.058,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:10.058,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0029,,
Oct 28 09:43:10.118,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 28 09:43:10.118,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0029,FFF2,
Oct 28 09:43:10.178,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:10.180,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0000000000
Oct 28 09:43:10.237,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,010000000000000000
Oct 28 09:43:10.238,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:10.239,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0204000000
Oct 28 09:43:10.268,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:10.297,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,040000000000000000
Oct 28 09:43:10.298,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:10.300,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0300000000
