time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:34:23.868,0x0041,F8:30:02:08:DF:00,Send,Exchange MTU Request,,,
Oct 29 21:34:23.927,0x0041,F8:30:02:08:DF:00,Receive,Exchange MTU Response,,,
Oct 29 21:34:23.927,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0001,,
Oct 29 21:34:23.988,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 29 21:34:23.988,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0023,,
Oct 29 21:34:24.047,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 29 21:34:24.047,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x000C,,
Oct 29 21:34:24.107,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:34:24.107,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x000F,,
Oct 29 21:34:24.167,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:34:24.167,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x000F,,
Oct 29 21:34:24.227,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:24.228,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0023,,
Oct 29 21:34:24.288,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:34:24.288,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x002D,,
Oct 29 21:34:24.347,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:34:24.347,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0031,,
Oct 29 21:34:24.407,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0031,,
Oct 29 21:34:24.409,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x002D,,
Oct 29 21:34:24.467,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:34:24.467,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x002D,FFF3,
Oct 29 21:34:24.527,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:24.527,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0031,,
Oct 29 21:34:24.587,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:34:24.587,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0033,,
Oct 29 21:34:24.647,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0033,,
Oct 29 21:34:24.647,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0031,FFF4,
Oct 29 21:34:24.707,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:24.708,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0029,,
Oct 29 21:34:24.767,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:34:24.768,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0029,FFF2,
Oct 29 21:34:24.827,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:24.827,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0000000000
Oct 29 21:34:24.887,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:24.888,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,010000000000000000
Oct 29 21:34:24.888,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:24.905,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0204000000
Oct 29 21:34:24.947,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,040000000000000000
Oct 29 21:34:24.948,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:24.950,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0300000000
Oct 29 21:34:25.007,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.007,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,060000000000000000
Oct 29 21:34:25.008,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:25.010,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0501000000
Oct 29 21:34:25.067,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,081C01787B81948850
Oct 29 21:34:25.068,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:25.127,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.248,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.368,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.487,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.607,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.662,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,0A0000000000000000
Oct 29 21:34:25.700,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.850,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:25.962,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.075,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.187,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.300,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.450,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.495,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B00800000
Oct 29 21:34:26.562,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:26.563,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.564,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B005CE132
Oct 29 21:34:26.638,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:26.641,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B00385735
Oct 29 21:34:26.675,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.712,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:26.713,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B001F01B8
Oct 29 21:34:26.787,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:26.788,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.791,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B000D6103
Oct 29 21:34:26.862,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:26.863,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B00065CE7
Oct 29 21:34:26.900,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:26.937,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:26.943,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B00030345
Oct 29 21:34:27.012,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:27.013,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B000203AC
Oct 29 21:34:27.050,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:27.087,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:27.089,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B0001863E
Oct 29 21:34:27.162,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:27.163,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:27.163,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B000147AE
Oct 29 21:34:27.237,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:27.238,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B000147AE
Oct 29 21:34:27.275,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:27.312,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:27.313,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B000147AE
Oct 29 21:34:27.387,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:34:27.388,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:34:27.388,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001B000147AE
