time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:51:35.830,0x0041,F8:30:02:08:DF:00,Send,Exchange MTU Request,,,
Oct 29 21:51:35.888,0x0041,F8:30:02:08:DF:00,Receive,Exchange MTU Response,,,
Oct 29 21:51:35.888,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0001,,
Oct 29 21:51:35.949,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 29 21:51:35.949,0x0041,F8:30:02:08:DF:00,Send,Read By Group Type Request,0x0023,,
Oct 29 21:51:36.008,0x0041,F8:30:02:08:DF:00,Receive,Read By Group Type Response,,,
Oct 29 21:51:36.009,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x000C,,
Oct 29 21:51:36.068,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:51:36.068,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x000F,,
Oct 29 21:51:36.128,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:51:36.128,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x000F,,
Oct 29 21:51:36.188,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.189,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0023,,
Oct 29 21:51:36.249,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:51:36.249,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x002D,,
Oct 29 21:51:36.308,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:51:36.308,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0031,,
Oct 29 21:51:36.368,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0031,,
Oct 29 21:51:36.370,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x002D,,
Oct 29 21:51:36.428,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:51:36.428,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x002D,FFF3,
Oct 29 21:51:36.488,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.488,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0031,,
Oct 29 21:51:36.548,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:51:36.548,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0033,,
Oct 29 21:51:36.608,0x0041,F8:30:02:08:DF:00,Receive,Error Response,0x0033,,
Oct 29 21:51:36.608,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0031,FFF4,
Oct 29 21:51:36.668,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.668,0x0041,F8:30:02:08:DF:00,Send,Find Information Request,0x0029,,
Oct 29 21:51:36.728,0x0041,F8:30:02:08:DF:00,Receive,Find Information Response,,,
Oct 29 21:51:36.728,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0029,FFF2,
Oct 29 21:51:36.788,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.788,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0000000000
Oct 29 21:51:36.848,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,010000000000000000
Oct 29 21:51:36.848,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.850,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0204000000
Oct 29 21:51:36.879,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:36.908,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,040000000000000000
Oct 29 21:51:36.909,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.911,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0300000000
Oct 29 21:51:36.968,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,060000000000000000
Oct 29 21:51:36.969,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:36.972,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0501000000
Oct 29 21:51:36.998,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.028,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,081C01787B81948850
Oct 29 21:51:37.029,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:51:37.118,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.238,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.359,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.478,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.612,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x002C,FFF3,0A0000000000000000
Oct 29 21:51:37.612,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.724,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.837,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:37.950,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.062,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.212,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.324,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.437,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.550,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.662,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.812,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.924,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:38.942,0x0041,F8:30:02:08:DF:00,Send,Read By Type Request,0x0001,,
Oct 29 21:51:39.000,0x0041,F8:30:02:08:DF:00,Receive,Read By Type Response,,,
Oct 29 21:51:39.037,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.149,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.262,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.412,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.524,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.637,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.749,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:39.862,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:40.012,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:40.125,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:40.237,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:51:40.349,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
